fetched_at,commence_time,home_team,away_team,sportsbook,home_spread,away_spread,home_spread_price,away_spread_price
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,draftkings,-8.5,8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,betus,-8.5,8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,fanduel,-8.5,8.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,betrivers,-8.5,8.5,-108,-113
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,lowvig,-8.5,8.5,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,betonlineag,-8.5,8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,SF,ARI,mybookieag,-8.5,8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,draftkings,-1.5,1.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,betus,-1.0,1.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,fanduel,-1.5,1.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,betrivers,-1.5,1.5,-108,-113
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,lowvig,-1.0,1.0,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,betonlineag,-1.0,1.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:05:00Z,TB,MIN,mybookieag,-1.5,1.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,DAL,BAL,draftkings,3.0,-3.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,DAL,BAL,fanduel,3.5,-3.5,-118,-104
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,DAL,BAL,betrivers,3.0,-3.0,-117,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,DAL,BAL,betus,3.0,-3.0,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,DAL,BAL,lowvig,3.0,-3.0,-101,-109
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,DAL,BAL,betonlineag,3.0,-3.0,-106,-114
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,draftkings,-3.0,3.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,betus,-3.0,3.0,-120,100
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,fanduel,-3.0,3.0,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,betrivers,-3.0,3.0,-108,-113
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,lowvig,-3.0,3.0,-116,105
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,betonlineag,-3.0,3.0,-120,100
2026-09-20T13:26:33.524167+00:00,2026-09-27T20:25:00Z,NO,LV,mybookieag,-3.0,3.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,draftkings,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,betus,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,fanduel,2.5,-2.5,-112,-108
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,betrivers,2.5,-2.5,-113,-108
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,lowvig,2.5,-2.5,100,-110
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,betonlineag,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-28T00:20:00Z,DEN,LA,mybookieag,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-29T00:15:00Z,CHI,PHI,draftkings,-1.5,1.5,-105,-115
